Gene	LOG_fc
A1CF	-0.00534785627477241
A2M	-1.35781540334608
A4GALT	0.0021705777725165
AAAS	0.10974349873368
AACS	0.454438383424789
AADAC	-0.347721354057666
AAGAB	0.159500269941649
AAK1	-0.139939507649191
AAMDC	-0.392245017677138
AAMP	0.215228782532494
AAR2	-0.0786227742423922
AARS	0.340117608293802
AARSD1 /// PTGES3L /// PTGES3L-AARSD1	0.242308687197996
AASDHPPT	0.373968269328786
AASS	-0.427318204103654
AATF	0.354046380195028
AATK	-0.319716714667917
ABAT	-0.0904479087608081
ABCA1	-0.411023176880093
ABCA11P	-0.00734655682779106
ABCA12	0.355211272572755
ABCA3	-2.09196117886355
ABCA4	0.568981433572161
ABCA5	-0.129213736916957
ABCA6	-0.602202999020819
ABCA7	-0.0238022073558835
ABCA8	-2.94316898860894
ABCB1	-0.596643602335982
ABCB1 /// ABCB4	-0.271073838572659
ABCB4	0.197338164297927
ABCB6	0.395008505177457
ABCB7	0.0575302427052424
ABCB8	0.191465377522928
ABCB9	0.0989047626837358
ABCC1	0.0699279351694262
ABCC10	0.170999010317885
ABCC2	0.254760924437919
ABCC3	1.26733454553105
ABCC4	-0.18013231164809
ABCC5	0.100578725867011
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322	0.0238001444224469
ABCC6 /// LOC101930322	-0.295262656166697
ABCC9	-0.11520259093178
ABCD1	0.158065478310069
ABCD1P2 /// ABCD1P2	0.0222192357753164
ABCD2	0.0451924743559395
ABCD3	-0.0441400204079709
ABCD4	-0.0910174650441498
ABCE1	0.509523979401242
ABCF1	0.27180139065689
ABCF2	0.258844048393915
ABCF3	0.110384143330251
ABCG1	-0.702749396443411
ABCG2	-0.746609995300467
ABCG4	-0.0207219384371831
ABCG5	-0.0657314486092142
ABHD10	0.0103568312261224
ABHD11	0.713414894975465
ABHD14A /// ACY1	-0.0900960019318973
ABHD14A-ACY1 /// ACY1	0.311391122538963
ABHD17A	-0.346835625798722
ABHD17B	-0.000493304014620222
ABHD2	-0.14885629930451
ABHD3	0.184645448074001
ABHD4	0.120581436719601
ABHD5	-0.315381596956716
ABHD6	-0.63151395994465
ABHD8	-0.0561053592700738
ABI1	-0.0067950159002681
ABI2	0.0911645574527675
ABI3BP	-0.37012965017905
ABL1	-0.110920521750719
ABL2	-0.00550687211570455
ABLIM1	-0.943309728873322
ABLIM3	-0.655818952335944
ABO	0.0399234272387359
ABR	-0.461720239770129
ABT1	0.22512022367671
ABTB2	0.219631076149541
AC002310.7 /// ZNF785	0.014034757808516
AC004692.5	0.02357862348856
AC004941.5	0.274224218853441
AC005838.2	-0.0450337324300536
AC007292.3	-0.0704892775337846
AC007389.3	0.0600630540151439
AC007967.3 /// RBMY2TP /// RBMY2TP	0.026981335554634
AC009237.8 /// AK055967	0.524829720693318
AC012065.7	-0.0770411990620508
AC068039.4	-0.115800100479162
AC074212.6	-0.0110789756902339
AC084219.3	0.0320338774853202
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2	1.20203340012263
ACAA1	-0.156913753805954
ACAA2	-0.368028289613484
ACACA	0.0289588207788452
ACACB	-0.754785567642836
ACAD10	-0.0122142611387268
ACAD8	0.830832484903131
ACADL	-1.59783813965089
ACADM	-0.0172094166061179
ACADS	-0.109588049067099
ACADSB	0.0409945101123501
ACADVL	-0.148784659348856
ACAN	0.0299165173975755
ACAP1	0.0987302266466781
ACAP2	-0.261236968968
ACAT1	-0.504016239247802
ACAT2	-0.0696190723246763
ACBD3	0.478928383770558
ACBD4	-0.0832257515415007
ACD	0.0120223071754584
ACE	-0.539625362670279
ACE2	0.244168955743294
ACHE	0.188901186089026
ACIN1	0.222468232476901
ACKR1	-1.37620857685164
ACKR2	-0.00243447674623365
ACKR3	-0.336883705176281
ACKR4	-0.930867288480467
ACLY	0.421589531836695
ACN9	0.438365693273627
ACO1	0.00306718522263516
ACO2	0.069164789017341
ACOT1 /// ACOT2	-0.294629829482581
ACOT11	0.154459109820229
ACOT13	0.591166610977172
ACOT7	0.0936248274251028
ACOT8	-0.0157172287725125
ACOT9	-0.0888720539054031
ACOX1	0.19307036377363
ACOX2	-0.170158387890334
ACOX3	-0.138824235716986
ACOXL	-0.105755238446359
ACP1	0.365531005176416
ACP2	0.353160179339305
ACP5	-1.13029701997005
ACP6	0.643306442942547
ACPP	-0.061415932007038
ACR	-0.0475546350663647
ACRV1	0.0366050450739435
ACSBG1	-0.11427968196275
ACSBG2	-0.120357890057126
ACSF2	0.0884232801122726
ACSL1	-0.417123053664463
ACSL3	-0.224151198331345
ACSL4	-0.484547642729361
ACSL5	-0.239150269606446
ACSL6	-3.71283745783657e-05
ACSM1	0.0081834479383458
ACSM2A /// ACSM2B	-0.0215577669980593
ACSM3	-0.040055686049981
ACSM5	-0.302493265676102
ACSS3	-0.275313013314153
ACTA1	0.00319150265289192
ACTA2	-0.501765078554948
ACTB	0.0818471883555514
ACTBP9 /// ACTBP9	0.200535062330623
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	0.089699597690271
ACTG2	-0.855151790734206
ACTL6A	0.732884308702624
ACTL6B	0.106434159678856
ACTL7A	0.0932485042454774
ACTL8	0.116903975636035
ACTN1	0.199798143443237
ACTN2	-0.19071925090466
ACTN3	-0.0198690797191023
ACTN4	-0.229465117732937
ACTR10	0.0903745966687683
ACTR1A	-0.253449775144345
ACTR1B	-0.0182786289726611
ACTR2	0.119146595987951
ACTR3	0.334030859039158
ACTR3B	0.201711276534811
ACTR5	0.33109145789603
ACTR6	0.195260546900534
ACTR8	-0.0145424145116699
ACVR1	0.368743964750745
ACVR1B	0.186135285951009
ACVR2A	-0.0863003121049033
ACVR2B	0.217305599766279
ACVR2B-AS1	-0.0499734986287494
ACVRL1	-0.713480172949155
ACYP1	0.256509086989468
ACYP2 /// LOC101927144	-0.420768363973175
ADA	0.133036289054413
ADAM10	-0.00211453034253672
ADAM11	0.00255309488662192
ADAM12	0.309516836239404
ADAM15	0.383197356250364
ADAM17	-0.211015612506751
ADAM18	-0.132751330229592
ADAM19	0.0113895365184327
ADAM21	-0.0246572490447914
ADAM28	0.590669710011896
ADAM29 /// LOC101928551	0.00588653946025453
ADAM30	-0.0417229156333452
ADAM5	-0.0229874561140111
ADAM8	0.516219441414735
ADAM9	0.194884927399858
ADAMDEC1	0.985055119072422
ADAMTS1	-1.87577995886033
ADAMTS12	0.0397597693129432
ADAMTS2	-0.102405153511035
ADAMTS3	0.0570890373134887
ADAMTS5	-0.163578848538
ADAMTS6	-0.0108593931689391
ADAMTS7	0.043994628524838
ADAMTS8	-1.27151305709787
ADAMTS9	-0.572034853871348
ADAMTSL2	-0.101138022373799
ADAMTSL3	-1.97564631622376
ADAMTSL4	-0.175591934854729
ADAP1	0.104689733214396
ADAP2	-0.0173366974775782
ADAR	0.292128693855718
ADARB1	-1.01745027903708
ADARB2	0.00328228300339717
ADAT1	0.128334812899076
ADCK2	0.112721219462516
ADCK3	-0.192026730861642
ADCK4	-0.000421071678977647
ADCY10	0.0159146291505721
ADCY2	-0.00119256685550173
ADCY3	-0.280918324558957
ADCY6	-0.105957088902727
ADCY7	-0.378966365106477
ADCY8	-0.0294654388757341
ADCY9	-0.617014872116367
ADCYAP1	-0.0376752207041129
ADD1	-0.452619278069774
ADD2	-0.0516751807786475
ADD3	-0.372139756156068
ADD3-AS1	-0.0213840767259015
ADGB	-0.0929006718326963
ADH1A	-0.216180926644238
ADH1B	-3.15934827689964
ADH1C	-0.196066169527789
ADH5	-0.303255960899021
ADH7	-0.110241203433164
ADI1	-0.228375627766619
ADIPOR1	0.0942234669399671
ADIPOR2	-0.591559258211468
ADIRF	-2.69644054188014
ADK	0.426764909704298
ADM	0.0490442725496205
ADM2	0.088754166124164
ADNP	0.544479891910898
ADNP2	0.0314305199053342
ADO	0.0039895044641991
ADORA1	0.191909918780823
ADORA2A /// SPECC1L-ADORA2A	-0.285630050635155
ADORA2B	0.536710383560173
ADORA3	-0.0925392035024704
ADPGK	-0.0370335158944677
ADPRH	-0.129058071450675
ADPRM	-0.0786329525788192
ADRA1D	-0.0533088415691143
ADRA2A	-0.0543758112573878
ADRA2B	-0.0728217468159276
ADRA2C	-0.129390500849415
ADRB1	-0.197460972774945
ADRB2	-1.55655960449858
ADRB3	-0.0476753049034562
ADRBK2	-0.104395438838496
ADRM1	0.29558703891068
ADSL	0.427967176219099
ADSS	0.585553596038677
ADTRP	-0.196224542835277
AEBP1	0.0822045869051582
AEN	0.0567169548154061
AES	-0.423442415028495
AF007147	-0.519977274134826
AF090939	-0.0674756257964448
AFF1	-0.299900239715965
AFF3	-0.0338556435358486
AFF4	0.14466125841209
AFG3L2	0.195054601888048
AFTPH	0.0523613929354134
AGA	0.299561235002193
AGAP1	0.218628674125711
AGAP10 /// AGAP11 /// AGAP4 /// AGAP5 /// AGAP9 /// BMS1P5 /// CTGLF12P /// LOC101060581	-0.0946705416347022
AGAP11 /// AGAP4 /// AGAP6 /// AGAP7P /// CTGLF12P /// LOC101060581	-0.0751256068035104
AGAP2	0.06525772606064
AGBL2	-0.298180075032363
AGBL5	0.165091551248287
AGER	-4.05378126288276
AGFG1	0.00595689400245991
AGFG2	0.0262059375041668
AGGF1	0.0722771413485308
AGK	0.362539814618231
AGL	0.161092227465814
AGMAT	0.397227582374451
AGO1	-0.0622838731839366
AGO2 /// CASC7 /// CASC7 /// DQ574852	0.375460566131236
AGO3	0.0832666348321052
AGO4	-0.186367986119978
AGPAT1	0.108522458560715
AGPAT2	-0.0105376541597995
AGPAT3	0.118315706560455
AGPAT4	-0.215441089990267
AGPAT5	0.321878187416566
AGPS	0.400732288725187
AGR2	1.4725866824534
AGRN	0.317917552817956
AGRP	-0.199883156159217
AGT	0.495039605387984
AGTPBP1	-0.54933148809355
AGTR1	-1.33744700957068
AGTR2	-0.948223797610781
AGXT	0.00601031420917053
AHCTF1	0.272013644089034
AHCY	0.942524774862795
AHCYL1	0.0706579319134288
AHCYL2	-0.3767754112876
AHDC1	0.207900212190193
AHI1	-0.122999467968423
AHNAK	-1.30718779344532
AHNAK2	1.47784460531549
AHR	0.0535025401034535
AHSA1	0.426545660248522
AHSA2	-0.458791246566501
AHSP	-0.00580701706999776
AICDA	0.0121154948053555
AIDA	0.175182559749823
AIF1	-0.276745634641367
AIFM1	0.383045059907204
AIM1	0.0582842827076089
AIM1L	0.142563722626019
AIM2	0.741970903183658
AIMP1	0.334900382117766
AIMP2	0.603897170725876
AIP	-0.102249936430425
AIRE	0.0196006436926082
AJ011981 /// DPY19L1	0.164357611562298
AK021537	-0.11391451261897
AK021933	0.0378246481277031
AK022030 /// TROVE2	-0.0148905492181806
AK055981	-0.261635122010077
AK055981 /// RP11-617F23.1	-0.205014241818177
AK096803 /// RP11-395B7.2	-0.0687823949778892
AK1	-0.938766255179054
AK125860 /// RP11-582J16.4	-0.0612767468527826
AK2	0.34764373054934
AK4 /// LOC100507855	1.08342229227496
AK6	0.186298801575369
AK6 /// TAF9	0.359575261844659
AKAP1	0.256250325760584
AKAP10	-0.086037654750803
AKAP11	-0.425808873876231
AKAP12	-0.987121299235232
AKAP13	-0.812047944397557
AKAP17A	0.0755029408546726
AKAP2 /// PALM2-AKAP2	-1.81844050866467
AKAP3	0.0236615148369967
AKAP5	0.00763071328501841
AKAP6	-0.0881885059449283
AKAP7	-0.345273316938148
AKAP8L	0.0545303391670711
AKAP9	-0.116088430147006
AKIP1	0.029191650318662
AKIP1 /// NUAK2	0.2530582715513
AKIRIN1	0.0796338858378824
AKR1A1	0.325821639878422
AKR1B1	-0.116302205173454
AKR1B10	0.934012578177528
AKR1C1	0.253092856497618
AKR1C2 /// LOC101930400	0.3159873525584
AKR1C3	0.191457909712856
AKR7A2	0.153427529380775
AKR7A3	0.404782232566999
AKT1	-0.0201956804240044
AKT2	0.133953116040622
AKT3	-0.609569193077893
AKTIP	-0.228539483931996
AL590762.11	0.0378406522076391
AL928768.3 /// Ig alpha 1-[alpha]2m /// IGH	0.256403651073662
ALAD	-0.0466531841343896
ALAS1	-0.358640504434454
ALAS2	-0.104891979485864
ALCAM	-0.482726633218027
ALDH18A1	0.914796784361478
ALDH1A1	-1.78449884430241
ALDH1A2	-0.00812962072783918
ALDH1A2 /// LOC101928635	-0.75754417997909
ALDH1A3	0.333531410777075
ALDH1B1	0.255719353475015
ALDH2	-1.00183280140167
ALDH3A1	-0.0396497356050363
ALDH3A2	-0.235331872854028
ALDH3B1	-0.458361405044206
ALDH3B2	0.348441350634874
