Gene	variation
A1BG	0.284269646506845
A1BG-AS1	0.257136138801411
A1CF	0.2312280520456
A2M	0.204631281326454
A2M-AS1	0.918802375898846
A2ML1	0.181570146324744
A2MP1	0.229677182315387
A4GALT	0.241540973344981
A4GNT	0.240107182653619
AA06	0.270043175503799
AAAS	0.209571745811844
AACS	0.281308369906645
AACSP1	0.169173610230038
AADAC	0.270889441529387
AADACL2	0.146392746128095
AADACP1	0.187877820464113
AADAT	0.301130993627917
AAED1	0.406396309263593
AAGAB	0.164622307391749
AAK1	0.396483529358418
AAMDC	0.21123412924139
AAMP	0.251526201531028
AANAT	0.227148367378025
AAR2	0.192424708808336
AARS	0.312806279289942
AARS2	0.224421883973474
AARSD1 /// PTGES3L /// PTGES3L-AARSD1	0.29334388093034
AASDH	0.273689274819413
AASDHPPT	0.292738724184635
AASS	0.198447948378401
AATF	0.192520842335746
AATK	0.43820266410457
AB074162 /// MIR181A2HG	0.715381930548102
AB488780	0.283049697741649
ABAT	0.544795771767069
ABCA1	0.751902301541349
ABCA11P	0.392765051638824
ABCA12	0.156921853371658
ABCA13	0.119013636913971
ABCA17P	0.317354748801467
ABCA2	0.172847688184063
ABCA3	0.332470180835156
ABCA4	0.196861463759229
ABCA5	0.435185501968462
ABCA6	0.158301321554397
ABCA7	0.367667355324677
ABCA8	0.127842893305632
ABCA9	0.116424209304889
ABCB1	0.412180239631578
ABCB1 /// ABCB4	0.46309479092732
ABCB10	0.655489814155033
ABCB11	0.136491530636441
ABCB4	0.501858025673577
ABCB5	0.130319211106736
ABCB6	0.236628738424674
ABCB7	0.244089439351738
ABCB8	0.194763503029392
ABCB8 /// ASIC3	0.228167521591085
ABCB9	0.186546627606144
ABCC1	0.202902325038796
ABCC10	0.247770769006022
ABCC11	0.223678480668998
ABCC12	0.169782212462274
ABCC13	1.1071449809861
ABCC2	0.30982260285182
ABCC3	0.379846954892834
ABCC4	0.521691798922333
ABCC5	0.369324523099612
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322	0.556540030091492
ABCC6 /// LOC101930322	0.259486847992258
ABCC6P1	0.186251079590352
ABCC8	0.227990016847502
ABCC9	0.12563573865886
ABCD1	0.282988604985388
ABCD1P2 /// ABCD1P2	0.210725832505068
ABCD2	0.266348257928052
ABCD3	0.42623610049286
ABCD4	0.223900868357074
ABCE1	0.54396883002484
ABCF1	0.31405434275389
ABCF2	0.198190311693413
ABCF3	0.221629772417216
