Gene	variation
A1CF	0.450797582021723
A2M	1.23264044687365
A4GALT	0.411967887218579
A4GNT	0.181921141022659
AAAS	0.238155216547991
AACS	0.467886455402589
AADAC	0.620144769128474
AAGAB	0.288429350624822
AAK1	0.282072608502751
AAMDC	0.484168842782855
AAMP	0.348606291611247
AANAT	0.186437809842442
AAR2	0.276456597631199
AARS	0.414511926305515
AARSD1 /// PTGES3L /// PTGES3L-AARSD1	0.309958276257726
AASDHPPT	0.584868468683318
AASS	0.531239592871986
AATF	0.406040736011709
AATK	0.383847156739249
ABAT	0.302594564524516
ABCA1	0.541724172820064
ABCA11P	0.403509612401178
ABCA12	0.259118457559071
ABCA2	0.205166169616296
ABCA3	2.31631296823097
ABCA4	0.480835935194368
ABCA5	0.499298368716759
ABCA6	0.704834145993181
ABCA7	0.550310476395304
ABCA8	3.03292964610454
ABCB1	0.594156488753175
ABCB1 /// ABCB4	0.490273474452493
ABCB11	0.177301645986201
ABCB4	0.302478318636521
ABCB6	0.412992054099735
ABCB7	0.357803776594217
ABCB8	0.305123409806944
ABCB8 /// ASIC3	0.198520348002786
ABCB9	0.336824794738655
ABCC1	0.256486813724655
ABCC10	0.312778117138759
ABCC2	0.323550159811589
ABCC3	1.50790047412274
ABCC4	0.581644927385717
ABCC5	0.408289814585956
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322	0.639854090458225
ABCC6 /// LOC101930322	0.595622024615142
ABCC8	0.202358820522166
ABCC9	0.231361302502252
ABCD1	0.364842004430988
ABCD1P2 /// ABCD1P2	0.215516038385648
ABCD2	0.278091539347479
ABCD3	0.581918400700031
ABCD4	0.23034822030691
ABCE1	0.653829655163433
ABCF1	0.315059455761958
ABCF2	0.297570750751357
ABCF3	0.236635064001652
ABCG1	0.87258905363044
ABCG2	0.775341053051109
ABCG4	0.256712978741549
ABCG5	0.226069083221262
ABHD10	0.307016120356042
ABHD11	0.693209576030956
ABHD14A /// ACY1	0.381195525932881
ABHD14A-ACY1 /// ACY1	0.366964082645701
